,country,year,cases,sex,age
160,BD,1998,254,m,0--14
161,BD,1999,259,m,0--14
162,BD,2000,256,m,0--14
163,BD,2001,283,m,0--14
164,BD,2002,449,m,0--14
165,BD,2003,320,m,0--14
166,BD,2004,420,m,0--14
167,BD,2005,524,m,0--14
168,BD,2006,607,m,0--14
169,BD,2007,523,m,0--14
170,BD,2008,422,m,0--14
171,BE,1995,3,m,0--14
172,BE,1996,1,m,0--14
173,BE,1997,3,m,0--14
174,BE,1998,3,m,0--14
175,BE,1999,2,m,0--14
176,BE,2000,3,m,0--14
177,BE,2001,8,m,0--14
178,BE,2002,1,m,0--14
179,BE,2003,6,m,0--14
180,BE,2004,1,m,0--14
181,BE,2005,1,m,0--14
182,BE,2006,4,m,0--14
183,BE,2007,2,m,0--14
184,BE,2008,3,m,0--14
185,BF,1995,4,m,0--14
186,BF,1996,3,m,0--14
187,BF,1997,3,m,0--14
188,BF,1998,4,m,0--14
189,BF,1999,13,m,0--14
190,BF,2000,12,m,0--14
191,BF,2001,7,m,0--14
192,BF,2002,6,m,0--14
193,BF,2003,14,m,0--14
194,BF,2004,10,m,0--14
195,BF,2005,18,m,0--14
196,BF,2006,13,m,0--14
197,BF,2007,8,m,0--14
198,BF,2008,8,m,0--14
199,BG,2000,0,m,0--14
200,BG,2001,1,m,0--14
201,BG,2002,2,m,0--14
202,BG,2003,3,m,0--14
203,BG,2004,10,m,0--14
204,BG,2005,9,m,0--14
205,BG,2006,6,m,0--14
206,BG,2007,7,m,0--14
207,BG,2008,2,m,0--14
208,BH,1995,0,m,0--14
209,BH,1996,0,m,0--14
210,BH,1997,1,m,0--14
211,BH,1998,0,m,0--14
212,BH,1999,0,m,0--14
213,BH,2000,0,m,0--14
214,BH,2001,0,m,0--14
215,BH,2002,0,m,0--14
216,BH,2003,0,m,0--14
217,BH,2004,0,m,0--14
218,BH,2005,0,m,0--14
219,BH,2006,0,m,0--14
220,BH,2007,0,m,0--14
221,BH,2008,0,m,0--14
222,BI,1995,5,m,0--14
223,BI,1996,16,m,0--14
224,BI,1997,21,m,0--14
225,BI,1998,45,m,0--14
226,BI,1999,64,m,0--14
227,BI,2001,34,m,0--14
228,BI,2002,16,m,0--14
229,BI,2003,32,m,0--14
230,BI,2004,24,m,0--14
231,BI,2005,34,m,0--14
232,BI,2006,30,m,0--14
233,BI,2007,26,m,0--14
234,BI,2008,30,m,0--14
235,BJ,1995,14,m,0--14
236,BJ,1996,17,m,0--14
237,BJ,1997,20,m,0--14
238,BJ,1998,20,m,0--14
239,BJ,1999,14,m,0--14
240,BJ,2000,19,m,0--14
241,BJ,2002,16,m,0--14
242,BJ,2003,20,m,0--14
243,BJ,2004,16,m,0--14
244,BJ,2005,21,m,0--14
245,BJ,2006,18,m,0--14
246,BJ,2008,20,m,0--14
247,BM,2004,0,m,0--14
248,BN,1999,0,m,0--14
249,BN,2000,0,m,0--14
250,BN,2002,2,m,0--14
251,BN,2003,0,m,0--14
252,BN,2004,0,m,0--14
253,BN,2005,0,m,0--14
254,BN,2006,2,m,0--14
255,BN,2007,0,m,0--14
256,BN,2008,0,m,0--14
257,BO,1996,178,m,0--14
258,BO,1997,150,m,0--14
259,BO,1998,167,m,0--14
260,BO,1999,222,m,0--14
261,BO,2000,166,m,0--14
262,BO,2001,165,m,0--14
263,BO,2002,231,m,0--14
264,BO,2003,156,m,0--14
265,BO,2004,161,m,0--14
266,BO,2005,157,m,0--14
267,BO,2006,127,m,0--14
268,BO,2007,116,m,0--14
269,BO,2008,128,m,0--14
270,BR,1999,301,m,0--14
271,BR,2000,1894,m,0--14
272,BR,2001,468,m,0--14
273,BR,2002,344,m,0--14
274,BR,2003,382,m,0--14
275,BR,2004,337,m,0--14
276,BR,2005,317,m,0--14
277,BR,2006,343,m,0--14
278,BR,2007,371,m,0--14
279,BR,2008,298,m,0--14
280,BS,1995,3,m,0--14
281,BS,1996,0,m,0--14
282,BS,1997,0,m,0--14
283,BS,1998,0,m,0--14
284,BS,1999,1,m,0--14
285,BS,2000,1,m,0--14
286,BS,2002,2,m,0--14
287,BS,2003,0,m,0--14
288,BS,2004,3,m,0--14
289,BS,2007,0,m,0--14
290,BS,2008,0,m,0--14
291,BT,1995,2,m,0--14
292,BT,1996,4,m,0--14
293,BT,1997,4,m,0--14
294,BT,1998,3,m,0--14
295,BT,1999,10,m,0--14
296,BT,2000,6,m,0--14
297,BT,2001,3,m,0--14
298,BT,2002,5,m,0--14
299,BT,2003,9,m,0--14
300,BT,2004,1,m,0--14
301,BT,2005,1,m,0--14
302,BT,2006,0,m,0--14
303,BT,2007,2,m,0--14
304,BT,2008,3,m,0--14
305,BW,1997,29,m,0--14
306,BW,1999,18,m,0--14
307,BW,2000,25,m,0--14
308,BW,2001,15,m,0--14
309,BW,2002,17,m,0--14
310,BW,2003,22,m,0--14
311,BW,2004,29,m,0--14
312,BW,2005,27,m,0--14
313,BW,2006,36,m,0--14
314,BW,2007,25,m,0--14
315,BW,2008,27,m,0--14
316,BY,2001,2,m,0--14
317,BY,2002,0,m,0--14
318,BY,2003,0,m,0--14
319,BZ,1995,1,m,0--14
320,BZ,1996,1,m,0--14
321,BZ,1997,2,m,0--14
322,BZ,2000,2,m,0--14
323,BZ,2001,0,m,0--14
324,BZ,2002,4,m,0--14
325,BZ,2003,1,m,0--14
326,BZ,2004,0,m,0--14
327,BZ,2005,0,m,0--14
328,BZ,2006,3,m,0--14
329,BZ,2007,1,m,0--14
330,BZ,2008,1,m,0--14
331,CA,1980,12,m,0--14
332,CA,1981,8,m,0--14
333,CA,1982,6,m,0--14
334,CA,1983,9,m,0--14
335,CA,1984,3,m,0--14
336,CA,1985,11,m,0--14
337,CA,1986,9,m,0--14
338,CA,1987,9,m,0--14
339,CA,1988,4,m,0--14
340,CA,1989,10,m,0--14
341,CA,1990,3,m,0--14
342,CA,1991,7,m,0--14
343,CA,1992,6,m,0--14
344,CA,1993,8,m,0--14
345,CA,1994,2,m,0--14
346,CA,1995,1,m,0--14
347,CA,1996,3,m,0--14
348,CA,1997,0,m,0--14
349,CA,1998,4,m,0--14
350,CA,1999,0,m,0--14
351,CA,2000,5,m,0--14
352,CA,2001,6,m,0--14
353,CA,2002,0,m,0--14
354,CA,2003,1,m,0--14
355,CA,2004,2,m,0--14
356,CA,2005,3,m,0--14
357,CA,2006,2,m,0--14
358,CA,2007,5,m,0--14
359,CA,2008,2,m,0--14
360,CD,1995,373,m,0--14
361,CD,1996,228,m,0--14
362,CD,1997,259,m,0--14
363,CD,1998,455,m,0--14
364,CD,1999,474,m,0--14
365,CD,2000,485,m,0--14
366,CD,2001,581,m,0--14
367,CD,2002,649,m,0--14
368,CD,2003,854,m,0--14
369,CD,2004,1195,m,0--14
370,CD,2005,1321,m,0--14
371,CD,2006,1122,m,0--14
372,CD,2007,1343,m,0--14
373,CD,2008,1515,m,0--14
374,CF,1995,38,m,0--14
375,CF,1996,46,m,0--14
376,CF,1997,54,m,0--14
377,CF,1998,28,m,0--14
378,CF,1999,28,m,0--14
379,CF,2001,15,m,0--14
380,CF,2002,76,m,0--14
381,CF,2004,12,m,0--14
382,CF,2005,29,m,0--14
383,CF,2006,48,m,0--14
384,CF,2008,68,m,0--14
385,CG,1995,16,m,0--14
386,CG,1999,17,m,0--14
387,CG,2001,31,m,0--14
388,CG,2004,9,m,0--14
389,CG,2006,32,m,0--14
390,CG,2007,28,m,0--14
391,CG,2008,31,m,0--14
392,CH,1995,0,m,0--14
393,CH,1996,1,m,0--14
394,CH,1997,0,m,0--14
395,CH,1998,0,m,0--14
396,CH,1999,1,m,0--14
397,CH,2000,0,m,0--14
398,CH,2001,0,m,0--14
399,CH,2002,0,m,0--14
400,CH,2003,0,m,0--14
401,CH,2004,0,m,0--14
402,CH,2005,1,m,0--14
403,CH,2006,1,m,0--14
404,CH,2007,0,m,0--14
405,CH,2008,0,m,0--14
406,CI,1995,41,m,0--14
407,CI,1996,118,m,0--14
408,CI,1997,87,m,0--14
409,CI,1998,72,m,0--14
410,CI,1999,98,m,0--14
411,CI,2001,108,m,0--14
412,CI,2002,102,m,0--14
413,CI,2003,116,m,0--14
414,CI,2004,114,m,0--14
415,CI,2005,128,m,0--14
416,CI,2006,171,m,0--14
417,CI,2007,173,m,0--14
418,CI,2008,261,m,0--14
419,CK,1980,0,m,0--14
420,CK,1981,0,m,0--14
421,CK,1982,0,m,0--14
422,CK,1983,0,m,0--14
423,CK,1984,0,m,0--14
424,CK,1985,1,m,0--14
425,CK,1986,0,m,0--14
426,CK,1987,0,m,0--14
427,CK,1989,0,m,0--14
428,CK,1991,0,m,0--14
429,CK,1992,0,m,0--14
430,CK,1993,0,m,0--14
431,CK,1994,0,m,0--14
432,CK,1995,0,m,0--14
433,CK,1996,0,m,0--14
434,CK,1997,0,m,0--14
435,CK,1998,0,m,0--14
436,CK,2000,0,m,0--14
437,CK,2001,0,m,0--14
438,CK,2002,0,m,0--14
439,CK,2003,0,m,0--14
440,CK,2004,0,m,0--14
441,CK,2005,0,m,0--14
442,CK,2006,0,m,0--14
443,CL,1995,24,m,0--14
444,CL,1996,8,m,0--14
445,CL,1997,11,m,0--14
446,CL,1999,4,m,0--14
447,CL,2000,6,m,0--14
448,CL,2001,2,m,0--14
449,CL,2002,6,m,0--14
450,CL,2003,1,m,0--14
451,CL,2004,3,m,0--14
452,CL,2005,3,m,0--14
453,CL,2006,12,m,0--14
454,CL,2007,3,m,0--14
455,CL,2008,7,m,0--14
456,CM,1995,20,m,0--14
457,CM,1996,34,m,0--14
458,CM,1997,36,m,0--14
459,CM,1998,15,m,0--14
460,CM,1999,49,m,0--14
461,CM,2000,41,m,0--14
462,CM,2001,24,m,0--14
463,CM,2002,66,m,0--14
464,CM,2003,100,m,0--14
465,CM,2004,127,m,0--14
466,CM,2005,134,m,0--14
467,CM,2006,112,m,0--14
468,CM,2007,121,m,0--14
469,CM,2008,108,m,0--14
470,CN,1995,1102,m,0--14
471,CN,1996,1409,m,0--14
472,CN,1997,1456,m,0--14
473,CN,1998,1481,m,0--14
474,CN,1999,1247,m,0--14
475,CN,2000,1131,m,0--14
476,CN,2001,1213,m,0--14
477,CN,2002,925,m,0--14
478,CN,2003,1133,m,0--14
479,CN,2004,1375,m,0--14
480,CN,2005,1416,m,0--14
481,CN,2006,1023,m,0--14
482,CN,2007,878,m,0--14
483,CN,2008,751,m,0--14
484,CO,1999,270,m,0--14
485,CO,2000,246,m,0--14
486,CO,2001,223,m,0--14
487,CO,2002,209,m,0--14
488,CO,2003,237,m,0--14
489,CO,2004,208,m,0--14
490,CO,2005,178,m,0--14
491,CO,2006,219,m,0--14
492,CO,2007,144,m,0--14
493,CO,2008,136,m,0--14
494,CR,1995,1,m,0--14
495,CR,1996,0,m,0--14
496,CR,1997,37,m,0--14
497,CR,1998,30,m,0--14
498,CR,1999,4,m,0--14
499,CR,2000,14,m,0--14
500,CR,2001,2,m,0--14
501,CR,2002,3,m,0--14
502,CR,2003,3,m,0--14
503,CR,2004,1,m,0--14
504,CR,2005,1,m,0--14
505,CR,2006,1,m,0--14
506,CR,2007,4,m,0--14
507,CR,2008,3,m,0--14
508,CU,1995,2,m,0--14
509,CU,1996,0,m,0--14
510,CU,1997,0,m,0--14
511,CU,1998,0,m,0--14
512,CU,1999,1,m,0--14
513,CU,2000,0,m,0--14
514,CU,2001,0,m,0--14
515,CU,2002,0,m,0--14
516,CU,2003,2,m,0--14
517,CU,2004,0,m,0--14
518,CU,2005,2,m,0--14
519,CU,2008,2,m,0--14
520,CV,1997,0,m,0--14
521,CV,1998,2,m,0--14
522,CV,2001,0,m,0--14
523,CV,2002,3,m,0--14
524,CV,2003,3,m,0--14
525,CV,2004,1,m,0--14
526,CV,2005,0,m,0--14
527,CV,2006,2,m,0--14
528,CV,2007,0,m,0--14
529,CV,2008,0,m,0--14
530,CY,1995,0,m,0--14
531,CY,1996,0,m,0--14
532,CY,1998,0,m,0--14
533,CY,1999,5,m,0--14
534,CY,2002,0,m,0--14
535,CY,2003,0,m,0--14
536,CY,2004,0,m,0--14
537,CY,2005,0,m,0--14
538,CY,2006,0,m,0--14
539,CY,2007,0,m,0--14
540,CY,2008,0,m,0--14
541,CZ,1995,2,m,0--14
542,CZ,1996,1,m,0--14
543,CZ,1997,0,m,0--14
544,CZ,1998,0,m,0--14
545,CZ,1999,2,m,0--14
546,CZ,2000,0,m,0--14
547,CZ,2001,0,m,0--14
548,CZ,2002,0,m,0--14
549,CZ,2003,0,m,0--14
550,CZ,2004,0,m,0--14
551,CZ,2005,0,m,0--14
552,CZ,2006,0,m,0--14
553,CZ,2007,0,m,0--14
554,CZ,2008,0,m,0--14
555,DE,1995,14,m,0--14
556,DE,1996,20,m,0--14
557,DE,1997,11,m,0--14
558,DE,1998,9,m,0--14
559,DE,1999,13,m,0--14
560,DE,2001,3,m,0--14
561,DE,2002,3,m,0--14
562,DE,2003,2,m,0--14
563,DE,2004,5,m,0--14
564,DE,2005,6,m,0--14
565,DE,2006,2,m,0--14
566,DE,2007,2,m,0--14
567,DE,2008,2,m,0--14
568,DJ,1996,30,m,0--14
569,DJ,1997,52,m,0--14
570,DJ,1998,23,m,0--14
571,DJ,1999,25,m,0--14
572,DJ,2000,17,m,0--14
573,DJ,2001,17,m,0--14
574,DJ,2002,20,m,0--14
575,DJ,2003,10,m,0--14
576,DJ,2004,19,m,0--14
577,DJ,2005,18,m,0--14
578,DJ,2006,14,m,0--14
579,DJ,2007,14,m,0--14
580,DJ,2008,17,m,0--14
581,DK,1995,0,m,0--14
582,DK,1996,0,m,0--14
583,DK,1997,1,m,0--14
584,DK,1998,0,m,0--14
585,DK,1999,4,m,0--14
586,DK,2000,5,m,0--14
587,DK,2001,1,m,0--14
588,DK,2002,2,m,0--14
589,DK,2003,3,m,0--14
590,DK,2004,1,m,0--14
591,DK,2005,0,m,0--14
592,DK,2006,0,m,0--14
593,DK,2007,0,m,0--14
594,DK,2008,0,m,0--14
595,DM,1996,0,m,0--14
596,DM,1997,0,m,0--14
597,DM,1998,0,m,0--14
598,DM,2006,0,m,0--14
599,DM,2007,0,m,0--14
600,DM,2008,0,m,0--14
601,DO,1996,17,m,0--14
602,DO,1997,76,m,0--14
603,DO,1998,62,m,0--14
604,DO,1999,90,m,0--14
605,DO,2000,73,m,0--14
606,DO,2002,39,m,0--14
607,DO,2003,52,m,0--14
608,DO,2004,45,m,0--14
609,DO,2005,43,m,0--14
610,DO,2006,25,m,0--14
611,DO,2007,23,m,0--14
612,DO,2008,16,m,0--14
613,DZ,1997,659,m,0--14
614,DZ,1999,40,m,0--14
615,DZ,2000,59,m,0--14
616,DZ,2001,41,m,0--14
617,DZ,2002,39,m,0--14
618,DZ,2003,40,m,0--14
619,DZ,2004,63,m,0--14
620,DZ,2005,53,m,0--14
621,DZ,2006,41,m,0--14
622,DZ,2007,95,m,0--14
623,DZ,2008,99,m,0--14
624,EC,1998,169,m,0--14
625,EC,2001,39,m,0--14
626,EC,2003,18,m,0--14
627,EC,2004,84,m,0--14
628,EC,2005,48,m,0--14
629,EC,2006,32,m,0--14
630,EC,2007,42,m,0--14
631,EC,2008,32,m,0--14
632,EE,1996,1,m,0--14
633,EE,1997,0,m,0--14
634,EE,1998,0,m,0--14
635,EE,1999,0,m,0--14
636,EE,2000,0,m,0--14
637,EE,2001,0,m,0--14
638,EE,2002,0,m,0--14
639,EE,2003,0,m,0--14
640,EE,2004,0,m,0--14
641,EE,2005,0,m,0--14
642,EE,2006,0,m,0--14
643,EE,2007,0,m,0--14
644,EE,2008,0,m,0--14
645,EG,1995,223,m,0--14
646,EG,1996,58,m,0--14
647,EG,1997,50,m,0--14
648,EG,1998,45,m,0--14
649,EG,1999,31,m,0--14
650,EG,2000,21,m,0--14
651,EG,2001,34,m,0--14
652,EG,2002,39,m,0--14
653,EG,2003,42,m,0--14
654,EG,2004,14,m,0--14
655,EG,2005,25,m,0--14
656,EG,2006,54,m,0--14
657,EG,2007,35,m,0--14
658,EG,2008,13,m,0--14
659,ER,1997,0,m,0--14
660,ER,1998,4,m,0--14
661,ER,1999,3,m,0--14
662,ER,2000,9,m,0--14
663,ER,2001,5,m,0--14
664,ER,2002,16,m,0--14
665,ER,2003,17,m,0--14
666,ER,2004,14,m,0--14
667,ER,2005,9,m,0--14
668,ER,2006,6,m,0--14
669,ER,2007,21,m,0--14
670,ES,1995,22,m,0--14
671,ES,1998,25,m,0--14
672,ES,2001,13,m,0--14
673,ES,2002,22,m,0--14
674,ES,2003,7,m,0--14
675,ES,2004,14,m,0--14
676,ES,2005,13,m,0--14
677,ES,2006,18,m,0--14
678,ES,2007,10,m,0--14
679,ES,2008,18,m,0--14
680,ET,1995,247,m,0--14
681,ET,1996,302,m,0--14
682,ET,1997,579,m,0--14
683,ET,1998,715,m,0--14
684,ET,1999,692,m,0--14
685,ET,2000,915,m,0--14
686,ET,2001,913,m,0--14
687,ET,2002,1251,m,0--14
688,ET,2003,1110,m,0--14
689,ET,2004,1160,m,0--14
690,ET,2005,1109,m,0--14
691,ET,2006,978,m,0--14
692,ET,2007,1055,m,0--14
693,ET,2008,978,m,0--14
694,FI,1995,1,m,0--14
695,FI,1996,0,m,0--14
696,FI,1997,0,m,0--14
697,FI,1998,0,m,0--14
698,FI,1999,0,m,0--14
699,FI,2000,0,m,0--14
700,FI,2001,0,m,0--14
701,FI,2002,0,m,0--14
702,FI,2003,0,m,0--14
703,FI,2004,0,m,0--14
704,FI,2005,1,m,0--14
705,FI,2006,0,m,0--14
706,FI,2007,0,m,0--14
707,FI,2008,0,m,0--14
708,FJ,1994,2,m,0--14
709,FJ,1995,0,m,0--14
710,FJ,1996,1,m,0--14
711,FJ,1997,1,m,0--14
712,FJ,1998,0,m,0--14
713,FJ,1999,1,m,0--14
714,FJ,2000,0,m,0--14
715,FJ,2001,0,m,0--14
716,FJ,2002,1,m,0--14
717,FJ,2003,2,m,0--14
718,FJ,2004,0,m,0--14
719,FJ,2005,7,m,0--14
720,FJ,2006,0,m,0--14
721,FJ,2007,1,m,0--14
722,FM,1995,0,m,0--14
723,FM,1996,0,m,0--14
724,FM,1997,0,m,0--14
725,FM,1998,4,m,0--14
726,FM,2000,0,m,0--14
727,FM,2001,0,m,0--14
728,FM,2002,2,m,0--14
729,FM,2003,0,m,0--14
730,FM,2004,0,m,0--14
731,FM,2006,14,m,0--14
732,FM,2007,1,m,0--14
733,FM,2008,1,m,0--14
734,FR,1995,30,m,0--14
735,FR,1996,36,m,0--14
736,FR,1997,24,m,0--14
737,FR,1999,13,m,0--14
738,FR,2000,10,m,0--14
739,FR,2001,10,m,0--14
740,FR,2002,24,m,0--14
741,FR,2003,18,m,0--14
742,FR,2004,13,m,0--14
743,FR,2005,12,m,0--14
744,FR,2006,17,m,0--14
745,FR,2007,17,m,0--14
746,FR,2008,10,m,0--14
747,GA,1995,3,m,0--14
748,GA,1996,0,m,0--14
749,GA,1998,14,m,0--14
750,GA,1999,14,m,0--14
751,GA,2001,21,m,0--14
752,GA,2002,10,m,0--14
753,GA,2003,14,m,0--14
754,GA,2004,17,m,0--14
755,GA,2005,13,m,0--14
756,GA,2006,20,m,0--14
757,GA,2008,14,m,0--14
758,GB,1997,2,m,0--14
759,GB,1998,11,m,0--14
760,GB,1999,8,m,0--14
761,GB,2000,8,m,0--14
762,GB,2001,10,m,0--14
763,GB,2002,6,m,0--14
764,GB,2003,13,m,0--14
765,GB,2004,10,m,0--14
766,GB,2005,9,m,0--14
767,GB,2006,9,m,0--14
768,GB,2007,13,m,0--14
769,GB,2008,5,m,0--14
770,GD,1997,0,m,0--14
771,GD,1998,0,m,0--14
772,GD,1999,0,m,0--14
773,GD,2006,0,m,0--14
774,GE,1995,2,m,0--14
775,GE,1996,4,m,0--14
776,GE,1997,0,m,0--14
777,GE,1998,4,m,0--14
778,GE,1999,5,m,0--14
779,GE,2000,4,m,0--14
780,GE,2001,4,m,0--14
781,GE,2002,1,m,0--14
782,GE,2003,1,m,0--14
783,GE,2004,3,m,0--14
784,GE,2005,0,m,0--14
785,GE,2006,3,m,0--14
786,GE,2007,7,m,0--14
787,GE,2008,161,m,0--14
788,GH,1995,42,m,0--14
789,GH,1996,30,m,0--14
790,GH,1997,77,m,0--14
791,GH,1998,83,m,0--14
792,GH,1999,64,m,0--14
793,GH,2000,73,m,0--14
794,GH,2001,84,m,0--14
795,GH,2002,80,m,0--14
796,GH,2003,79,m,0--14
797,GH,2004,54,m,0--14
798,GH,2005,49,m,0--14
799,GH,2006,33,m,0--14
800,GH,2007,66,m,0--14
801,GM,1995,3,m,0--14
802,GM,1996,29,m,0--14
803,GM,1997,2,m,0--14
804,GM,1998,6,m,0--14
805,GM,1999,6,m,0--14
806,GM,2002,2,m,0--14
807,GM,2003,3,m,0--14
808,GM,2004,5,m,0--14
809,GM,2005,13,m,0--14
810,GM,2006,13,m,0--14
811,GM,2008,7,m,0--14
812,GN,1995,18,m,0--14
813,GN,1996,29,m,0--14
814,GN,1997,25,m,0--14
815,GN,1998,22,m,0--14
816,GN,1999,30,m,0--14
817,GN,2000,39,m,0--14
818,GN,2001,24,m,0--14
819,GN,2002,24,m,0--14
820,GN,2003,34,m,0--14
821,GN,2004,38,m,0--14
822,GN,2005,51,m,0--14
823,GN,2006,31,m,0--14
824,GN,2007,46,m,0--14
825,GN,2008,56,m,0--14
826,GQ,1995,8,m,0--14
827,GQ,1997,5,m,0--14
828,GQ,1998,6,m,0--14
829,GQ,2004,5,m,0--14
830,GQ,2008,8,m,0--14
831,GR,1997,0,m,0--14
832,GR,1998,15,m,0--14
833,GR,1999,3,m,0--14
834,GR,2000,1,m,0--14
835,GR,2001,0,m,0--14
836,GR,2002,0,m,0--14
837,GR,2003,2,m,0--14
838,GR,2004,1,m,0--14
839,GR,2005,1,m,0--14
840,GR,2006,0,m,0--14
841,GR,2007,1,m,0--14
842,GR,2008,0,m,0--14
843,GT,1995,51,m,0--14
844,GT,1996,75,m,0--14
845,GT,1997,45,m,0--14
846,GT,1998,60,m,0--14
847,GT,1999,34,m,0--14
848,GT,2000,36,m,0--14
849,GT,2001,27,m,0--14
850,GT,2002,27,m,0--14
851,GT,2003,29,m,0--14
852,GT,2004,43,m,0--14
853,GT,2005,39,m,0--14
854,GT,2007,74,m,0--14
855,GT,2008,19,m,0--14
856,GU,2000,2,m,0--14
857,GU,2001,0,m,0--14
858,GU,2002,3,m,0--14
859,GU,2003,0,m,0--14
860,GU,2004,0,m,0--14
861,GU,2005,0,m,0--14
862,GU,2006,0,m,0--14
863,GU,2007,0,m,0--14
864,GU,2008,0,m,0--14
865,GW,1996,9,m,0--14
